Municipios;Periodo;Total;Nombre_Municipio
01018 Zigoitia;2018;111.0;Zigoitia
01018 Zigoitia;2017;106.0;Zigoitia
01018 Zigoitia;2016;111.0;Zigoitia
01018 Zigoitia;2015;109.0;Zigoitia
01018 Zigoitia;2014;100.0;Zigoitia
01018 Zigoitia;2013;110.0;Zigoitia
01018 Zigoitia;2012;95.0;Zigoitia
01019 Kripan;2024;4.0;Kripan
01019 Kripan;2023;4.0;Kripan
01019 Kripan;2022;6.0;Kripan
01019 Kripan;2021;5.0;Kripan
01019 Kripan;2020;5.0;Kripan
01019 Kripan;2019;4.0;Kripan
01019 Kripan;2018;4.0;Kripan
01019 Kripan;2017;5.0;Kripan
01019 Kripan;2016;5.0;Kripan
01019 Kripan;2015;5.0;Kripan
01019 Kripan;2014;4.0;Kripan
01019 Kripan;2013;5.0;Kripan
01019 Kripan;2012;6.0;Kripan
01020 Kuartango;2024;19.0;Kuartango
01020 Kuartango;2023;19.0;Kuartango
01020 Kuartango;2022;18.0;Kuartango
01020 Kuartango;2021;18.0;Kuartango
01020 Kuartango;2020;20.0;Kuartango
01020 Kuartango;2019;16.0;Kuartango
01020 Kuartango;2018;16.0;Kuartango
01020 Kuartango;2017;14.0;Kuartango
01020 Kuartango;2016;17.0;Kuartango
01020 Kuartango;2015;15.0;Kuartango
01020 Kuartango;2014;13.0;Kuartango
01020 Kuartango;2013;15.0;Kuartango
01020 Kuartango;2012;13.0;Kuartango
01021 Elburgo/Burgelu;2024;38.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2023;35.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2022;38.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2021;37.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2020;40.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2019;37.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2018;37.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2017;37.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2016;47.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2015;47.0;Elburgo/Burgelu
