Municipios;Periodo;Total
01034 Leza;2018;19
01034 Leza;2017;20
01034 Leza;2016;21
01034 Leza;2015;21
01034 Leza;2014;18
01034 Leza;2013;16
01034 Leza;2012;18
01036 Laudio/Llodio;2024;756
01036 Laudio/Llodio;2023;769
01036 Laudio/Llodio;2022;823
01036 Laudio/Llodio;2021;826
01036 Laudio/Llodio;2020;855
01036 Laudio/Llodio;2019;869
01036 Laudio/Llodio;2018;866
01036 Laudio/Llodio;2017;857
01036 Laudio/Llodio;2016;907
01036 Laudio/Llodio;2015;899
01036 Laudio/Llodio;2014;884
01036 Laudio/Llodio;2013;900
01036 Laudio/Llodio;2012;909
01037 Arraia-Maeztu;2024;44
01037 Arraia-Maeztu;2023;39
01037 Arraia-Maeztu;2022;46
01037 Arraia-Maeztu;2021;45
01037 Arraia-Maeztu;2020;39
01037 Arraia-Maeztu;2019;40
01037 Arraia-Maeztu;2018;44
01037 Arraia-Maeztu;2017;42
01037 Arraia-Maeztu;2016;42
01037 Arraia-Maeztu;2015;41
01037 Arraia-Maeztu;2014;44
01037 Arraia-Maeztu;2013;43
01037 Arraia-Maeztu;2012;42
01039 Moreda de Álava/Moreda Araba;2024;12
01039 Moreda de Álava/Moreda Araba;2023;13
01039 Moreda de Álava/Moreda Araba;2022;15
01039 Moreda de Álava/Moreda Araba;2021;16
01039 Moreda de Álava/Moreda Araba;2020;16
01039 Moreda de Álava/Moreda Araba;2019;13
01039 Moreda de Álava/Moreda Araba;2018;15
01039 Moreda de Álava/Moreda Araba;2017;17
01039 Moreda de Álava/Moreda Araba;2016;16
01039 Moreda de Álava/Moreda Araba;2015;13
01039 Moreda de Álava/Moreda Araba;2014;15
01039 Moreda de Álava/Moreda Araba;2013;13
01039 Moreda de Álava/Moreda Araba;2012;14
01041 Navaridas;2024;17
01041 Navaridas;2023;19
01041 Navaridas;2022;22
01041 Navaridas;2021;19
01041 Navaridas;2020;19
01041 Navaridas;2019;21
01041 Navaridas;2018;21
01041 Navaridas;2017;19
01041 Navaridas;2016;21
01041 Navaridas;2015;21
01041 Navaridas;2014;22
01041 Navaridas;2013;21
01041 Navaridas;2012;19
01042 Okondo;2024;66
01042 Okondo;2023;72
01042 Okondo;2022;78
01042 Okondo;2021;74
01042 Okondo;2020;73
01042 Okondo;2019;64
01042 Okondo;2018;72
01042 Okondo;2017;72
01042 Okondo;2016;76
01042 Okondo;2015;74
01042 Okondo;2014;70
01042 Okondo;2013;72
01042 Okondo;2012;71
01043 Oyón-Oion;2024;236
01043 Oyón-Oion;2023;229
01043 Oyón-Oion;2022;267
01043 Oyón-Oion;2021;250
01043 Oyón-Oion;2020;254
01043 Oyón-Oion;2019;261
01043 Oyón-Oion;2018;274
01043 Oyón-Oion;2017;265
01043 Oyón-Oion;2016;271
01043 Oyón-Oion;2015;271
01043 Oyón-Oion;2014;281
01043 Oyón-Oion;2013;278
01043 Oyón-Oion;2012;292
01044 Peñacerrada-Urizaharra;2024;17
01044 Peñacerrada-Urizaharra;2023;15
01044 Peñacerrada-Urizaharra;2022;18
01044 Peñacerrada-Urizaharra;2021;18
01044 Peñacerrada-Urizaharra;2020;18
01044 Peñacerrada-Urizaharra;2019;21
01044 Peñacerrada-Urizaharra;2018;22
01044 Peñacerrada-Urizaharra;2017;23
01044 Peñacerrada-Urizaharra;2016;23
01044 Peñacerrada-Urizaharra;2015;23
01044 Peñacerrada-Urizaharra;2014;21
01044 Peñacerrada-Urizaharra;2013;18
01044 Peñacerrada-Urizaharra;2012;18
01046 Erriberagoitia/Ribera Alta;2024;54
01046 Erriberagoitia/Ribera Alta;2023;54
01046 Erriberagoitia/Ribera Alta;2022;55
01046 Erriberagoitia/Ribera Alta;2021;60
01046 Erriberagoitia/Ribera Alta;2020;61
01046 Erriberagoitia/Ribera Alta;2019;59
01046 Erriberagoitia/Ribera Alta;2018;55
01046 Erriberagoitia/Ribera Alta;2017;51
01046 Erriberagoitia/Ribera Alta;2016;52
01046 Erriberagoitia/Ribera Alta;2015;52
01046 Erriberagoitia/Ribera Alta;2014;44
01046 Erriberagoitia/Ribera Alta;2013;48
01046 Erriberagoitia/Ribera Alta;2012;48
01047 Ribera Baja/Erriberabeitia;2024;62
01047 Ribera Baja/Erriberabeitia;2023;65
01047 Ribera Baja/Erriberabeitia;2022;65
01047 Ribera Baja/Erriberabeitia;2021;62
01047 Ribera Baja/Erriberabeitia;2020;58
01047 Ribera Baja/Erriberabeitia;2019;61
01047 Ribera Baja/Erriberabeitia;2018;68
01047 Ribera Baja/Erriberabeitia;2017;57
01047 Ribera Baja/Erriberabeitia;2016;59
01047 Ribera Baja/Erriberabeitia;2015;58
01047 Ribera Baja/Erriberabeitia;2014;50
01047 Ribera Baja/Erriberabeitia;2013;55
01047 Ribera Baja/Erriberabeitia;2012;48
01049 Añana;2024;12
01049 Añana;2023;15
01049 Añana;2022;16
01049 Añana;2021;14
01049 Añana;2020;14
01049 Añana;2019;13
01049 Añana;2018;10
01049 Añana;2017;9
01049 Añana;2016;12
01049 Añana;2015;11
01049 Añana;2014;10
01049 Añana;2013;7
01049 Añana;2012;9
01051 Agurain/Salvatierra;2024;225
01051 Agurain/Salvatierra;2023;221
01051 Agurain/Salvatierra;2022;227
01051 Agurain/Salvatierra;2021;222
01051 Agurain/Salvatierra;2020;233
01051 Agurain/Salvatierra;2019;242
01051 Agurain/Salvatierra;2018;244
01051 Agurain/Salvatierra;2017;232
01051 Agurain/Salvatierra;2016;258
01051 Agurain/Salvatierra;2015;250
01051 Agurain/Salvatierra;2014;242
01051 Agurain/Salvatierra;2013;247
01051 Agurain/Salvatierra;2012;259
01052 Samaniego;2024;21
01052 Samaniego;2023;25
01052 Samaniego;2022;25
01052 Samaniego;2021;25
01052 Samaniego;2020;28
01052 Samaniego;2019;32
01052 Samaniego;2018;33
01052 Samaniego;2017;28
01052 Samaniego;2016;26
01052 Samaniego;2015;26
01052 Samaniego;2014;28
01052 Samaniego;2013;32
01052 Samaniego;2012;29
01053 San Millán/Donemiliaga;2024;37
01053 San Millán/Donemiliaga;2023;37
01053 San Millán/Donemiliaga;2022;30
01053 San Millán/Donemiliaga;2021;27
01053 San Millán/Donemiliaga;2020;33
01053 San Millán/Donemiliaga;2019;28
01053 San Millán/Donemiliaga;2018;30
01053 San Millán/Donemiliaga;2017;34
01053 San Millán/Donemiliaga;2016;34
01053 San Millán/Donemiliaga;2015;36
01053 San Millán/Donemiliaga;2014;37
01053 San Millán/Donemiliaga;2013;35
01053 San Millán/Donemiliaga;2012;36
01054 Urkabustaiz;2024;72
01054 Urkabustaiz;2023;75
01054 Urkabustaiz;2022;88
01054 Urkabustaiz;2021;79
01054 Urkabustaiz;2020;70
01054 Urkabustaiz;2019;73
01054 Urkabustaiz;2018;66
01054 Urkabustaiz;2017;67
01054 Urkabustaiz;2016;69
01054 Urkabustaiz;2015;64
01054 Urkabustaiz;2014;63
01054 Urkabustaiz;2013;65
01054 Urkabustaiz;2012;66
01055 Valdegovía/Gaubea;2024;67
01055 Valdegovía/Gaubea;2023;59
01055 Valdegovía/Gaubea;2022;68
01055 Valdegovía/Gaubea;2021;66
01055 Valdegovía/Gaubea;2020;69
01055 Valdegovía/Gaubea;2019;66
01055 Valdegovía/Gaubea;2018;66
01055 Valdegovía/Gaubea;2017;60
01055 Valdegovía/Gaubea;2016;69
01055 Valdegovía/Gaubea;2015;68
01055 Valdegovía/Gaubea;2014;66
01055 Valdegovía/Gaubea;2013;66
01055 Valdegovía/Gaubea;2012;67
01056 Harana/Valle de Arana;2024;15
01056 Harana/Valle de Arana;2023;14
01056 Harana/Valle de Arana;2022;11
01056 Harana/Valle de Arana;2021;12
01056 Harana/Valle de Arana;2020;10
01056 Harana/Valle de Arana;2019;13
01056 Harana/Valle de Arana;2018;13
01056 Harana/Valle de Arana;2017;13
01056 Harana/Valle de Arana;2016;15
01056 Harana/Valle de Arana;2015;14
01056 Harana/Valle de Arana;2014;15
01056 Harana/Valle de Arana;2013;16
01056 Harana/Valle de Arana;2012;15
01057 Villabuena de Álava/Eskuernaga;2024;40
01057 Villabuena de Álava/Eskuernaga;2023;42
01057 Villabuena de Álava/Eskuernaga;2022;43
01057 Villabuena de Álava/Eskuernaga;2021;45
01057 Villabuena de Álava/Eskuernaga;2020;49
01057 Villabuena de Álava/Eskuernaga;2019;46
