Municipios;Periodo;Total
02065 Pozuelo;2019;11.776,0
02065 Pozuelo;2018;11.047,0
02065 Pozuelo;2017;10.237,0
02065 Pozuelo;2016;10.211,0
02065 Pozuelo;2015;9.601,0
02066 Recueja, La;2022;11.276,0
02066 Recueja, La;2021;10.200,0
02066 Recueja, La;2020;9.792,0
02066 Recueja, La;2019;9.650,0
02066 Recueja, La;2018;9.433,0
02066 Recueja, La;2017;8.220,0
02066 Recueja, La;2016;8.032,0
02066 Recueja, La;2015;7.856,0
02067 Riópar;2022;10.430,0
02067 Riópar;2021;9.561,0
02067 Riópar;2020;9.464,0
02067 Riópar;2019;9.208,0
02067 Riópar;2018;8.679,0
02067 Riópar;2017;8.199,0
02067 Riópar;2016;8.080,0
02067 Riópar;2015;7.876,0
02068 Robledo;2022;12.333,0
02068 Robledo;2021;11.534,0
02068 Robledo;2020;10.908,0
02068 Robledo;2019;11.471,0
02068 Robledo;2018;10.868,0
02068 Robledo;2017;10.259,0
02068 Robledo;2016;9.757,0
02068 Robledo;2015;9.376,0
02069 Roda, La;2022;11.116,0
02069 Roda, La;2021;10.694,0
02069 Roda, La;2020;10.290,0
02069 Roda, La;2019;9.977,0
02069 Roda, La;2018;9.403,0
02069 Roda, La;2017;8.938,0
02069 Roda, La;2016;8.500,0
02069 Roda, La;2015;8.178,0
02070 Salobre;2022;12.978,0
02070 Salobre;2021;10.195,0
02070 Salobre;2020;9.242,0
02070 Salobre;2019;9.631,0
02070 Salobre;2018;9.537,0
02070 Salobre;2017;8.361,0
02070 Salobre;2016;8.482,0
02070 Salobre;2015;8.498,0
02071 San Pedro;2022;12.804,0
02071 San Pedro;2021;11.405,0
02071 San Pedro;2020;10.945,0
02071 San Pedro;2019;10.635,0
02071 San Pedro;2018;9.844,0
02071 San Pedro;2017;8.874,0
02071 San Pedro;2016;8.540,0
02071 San Pedro;2015;8.211,0
02072 Socovos;2022;9.505,0
02072 Socovos;2021;9.038,0
02072 Socovos;2020;8.749,0
02072 Socovos;2019;8.351,0
02072 Socovos;2018;7.726,0
02072 Socovos;2017;7.296,0
02072 Socovos;2016;7.031,0
02072 Socovos;2015;6.845,0
02073 Tarazona de la Mancha;2022;10.341,0
02073 Tarazona de la Mancha;2021;9.823,0
02073 Tarazona de la Mancha;2020;9.311,0
02073 Tarazona de la Mancha;2019;9.172,0
02073 Tarazona de la Mancha;2018;8.639,0
02073 Tarazona de la Mancha;2017;7.864,0
02073 Tarazona de la Mancha;2016;7.443,0
02073 Tarazona de la Mancha;2015;7.044,0
02074 Tobarra;2022;9.902,0
02074 Tobarra;2021;9.527,0
02074 Tobarra;2020;9.065,0
02074 Tobarra;2019;8.764,0
02074 Tobarra;2018;8.301,0
02074 Tobarra;2017;7.926,0
02074 Tobarra;2016;7.579,0
02074 Tobarra;2015;7.416,0
02075 Valdeganga;2022;11.502,0
02075 Valdeganga;2021;11.084,0
02075 Valdeganga;2020;10.541,0
02075 Valdeganga;2019;10.416,0
02075 Valdeganga;2018;9.977,0
02075 Valdeganga;2017;9.144,0
02075 Valdeganga;2016;8.776,0
02075 Valdeganga;2015;8.406,0
02076 Vianos;2022;12.025,0
02076 Vianos;2021;11.499,0
02076 Vianos;2020;10.474,0
02076 Vianos;2019;10.600,0
02076 Vianos;2018;9.714,0
02076 Vianos;2017;9.108,0
02076 Vianos;2016;9.564,0
02076 Vianos;2015;9.234,0
02077 Villa de Ves;2022;.
02077 Villa de Ves;2021;12.033,0
02077 Villa de Ves;2020;11.664,0
02077 Villa de Ves;2019;.
02077 Villa de Ves;2018;.
02077 Villa de Ves;2017;.
02077 Villa de Ves;2016;.
02077 Villa de Ves;2015;.
02078 Villalgordo del Júcar;2022;10.419,0
02078 Villalgordo del Júcar;2021;9.751,0
02078 Villalgordo del Júcar;2020;9.408,0
02078 Villalgordo del Júcar;2019;8.975,0
02078 Villalgordo del Júcar;2018;8.825,0
02078 Villalgordo del Júcar;2017;8.181,0
02078 Villalgordo del Júcar;2016;7.755,0
02078 Villalgordo del Júcar;2015;7.855,0
02079 Villamalea;2022;10.387,0
02079 Villamalea;2021;9.854,0
02079 Villamalea;2020;9.165,0
02079 Villamalea;2019;9.070,0
02079 Villamalea;2018;8.401,0
02079 Villamalea;2017;7.722,0
02079 Villamalea;2016;7.651,0
02079 Villamalea;2015;7.247,0
02080 Villapalacios;2022;12.736,0
02080 Villapalacios;2021;11.754,0
02080 Villapalacios;2020;10.904,0
02080 Villapalacios;2019;10.961,0
02080 Villapalacios;2018;10.411,0
02080 Villapalacios;2017;10.479,0
02080 Villapalacios;2016;9.859,0
02080 Villapalacios;2015;9.277,0
02081 Villarrobledo;2022;11.058,0
02081 Villarrobledo;2021;10.519,0
02081 Villarrobledo;2020;10.004,0
02081 Villarrobledo;2019;9.942,0
02081 Villarrobledo;2018;9.333,0
02081 Villarrobledo;2017;8.994,0
02081 Villarrobledo;2016;8.444,0
02081 Villarrobledo;2015;8.112,0
02082 Villatoya;2022;11.915,0
02082 Villatoya;2021;11.364,0
02082 Villatoya;2020;10.507,0
02082 Villatoya;2019;10.966,0
02082 Villatoya;2018;10.794,0
02082 Villatoya;2017;.
02082 Villatoya;2016;10.045,0
02082 Villatoya;2015;9.837,0
02083 Villavaliente;2022;12.823,0
02083 Villavaliente;2021;11.109,0
02083 Villavaliente;2020;10.246,0
02083 Villavaliente;2019;10.425,0
02083 Villavaliente;2018;9.542,0
02083 Villavaliente;2017;8.081,0
02083 Villavaliente;2016;8.468,0
02083 Villavaliente;2015;8.238,0
02084 Villaverde de Guadalimar;2022;10.212,0
02084 Villaverde de Guadalimar;2021;9.932,0
02084 Villaverde de Guadalimar;2020;9.053,0
02084 Villaverde de Guadalimar;2019;9.060,0
02084 Villaverde de Guadalimar;2018;8.677,0
02084 Villaverde de Guadalimar;2017;8.460,0
02084 Villaverde de Guadalimar;2016;7.992,0
02084 Villaverde de Guadalimar;2015;7.698,0
02085 Viveros;2022;12.627,0
02085 Viveros;2021;12.480,0
02085 Viveros;2020;11.432,0
02085 Viveros;2019;10.819,0
02085 Viveros;2018;10.822,0
02085 Viveros;2017;9.966,0
02085 Viveros;2016;9.596,0
02085 Viveros;2015;8.909,0
02086 Yeste;2022;10.647,0
02086 Yeste;2021;9.852,0
02086 Yeste;2020;9.268,0
02086 Yeste;2019;9.181,0
02086 Yeste;2018;8.644,0
02086 Yeste;2017;8.010,0
02086 Yeste;2016;7.616,0
02086 Yeste;2015;7.635,0
02901 Pozo Cañada;2022;10.581,0
02901 Pozo Cañada;2021;9.874,0
02901 Pozo Cañada;2020;9.438,0
02901 Pozo Cañada;2019;9.204,0
02901 Pozo Cañada;2018;8.645,0
02901 Pozo Cañada;2017;8.198,0
02901 Pozo Cañada;2016;7.881,0
02901 Pozo Cañada;2015;7.678,0
03001 Atzúbia, l';2022;11.515
03001 Atzúbia, l';2021;11.715
03001 Atzúbia, l';2020;10.491
03001 Atzúbia, l';2019;11.127
03001 Atzúbia, l';2018;10.318
03001 Atzúbia, l';2017;9.665
03001 Atzúbia, l';2016;8.657
03001 Atzúbia, l';2015;9.029
03002 Agost;2022;9.108
03002 Agost;2021;10.305
03002 Agost;2020;9.847
03002 Agost;2019;9.723
03002 Agost;2018;9.155
03002 Agost;2017;8.699
03002 Agost;2016;8.312
03002 Agost;2015;8.036
03003 Agres;2022;13.293
03003 Agres;2021;12.747
03003 Agres;2020;12.063
03003 Agres;2019;12.435
03003 Agres;2018;11.074
03003 Agres;2017;10.578
03003 Agres;2016;10.171
03003 Agres;2015;9.920
03004 Aigües;2022;12.459
03004 Aigües;2021;12.325
03004 Aigües;2020;11.449
03004 Aigües;2019;11.452
03004 Aigües;2018;10.799
03004 Aigües;2017;10.588
03004 Aigües;2016;10.008
03004 Aigües;2015;10.220
03005 Albatera;2022;9.685
03005 Albatera;2021;9.207
03005 Albatera;2020;8.826
03005 Albatera;2019;8.699
03005 Albatera;2018;8.264
03005 Albatera;2017;8.157
03005 Albatera;2016;7.750
03005 Albatera;2015;7.601
03006 Alcalalí;2022;10.804
03006 Alcalalí;2021;10.468
03006 Alcalalí;2020;9.934
03006 Alcalalí;2019;10.137
03006 Alcalalí;2018;9.714
